"","bam.SRR_75_ngm_sorted.bam"
"AAC66187-1",55
"AAC66191-1",53
"AAC66219-1",375
"AAC66223-1",17
"AAC66195-1",180
"AAC66208-1",243
"AAC66209-1",1223
"AAC66210-1",137
"AAC66192-1",664
"AAC66147-1",613
"AAC66153-1",143
"AAC66155-1",8
"AAC66132-1",3067
"AAC66133-1",266
"AAC66139-1",1731
"AAC66172-1",345
"AAC66141-1",541
"AAC66142-1",112
"AAC66174-1",2906
"AAC66143-1",191
"AAC66138-1",131
"AAC66134-1",2038
"AAC66160-1",77
"AAC66166-1",219
"AAC66167-1",932
"AET25336-1",164
"AAC66144-1",865
"AAC66178-1",214
"AAC66179-1",34
"AAC66145-1",8228
"AAC66182-1",496
"AAC66146-1",441
"AAC66169-1",237
"AAC66135-1",767
"AET25337-1",6
"AAC66136-1",404
"AAC66137-1",789
"AAC66096-1",3286
"AAC66084-1",1900
"AAC66098-1",29
"AAC66100-1",21
"AAC66086-1",241
"AAC66087-1",234
"AAC66088-1",228
"AAC66089-1",6253
"AET25406-1",45
"AET25407-1",20
"AAC66119-1",1721
"AAC66120-1",1428
"AAC66121-1",769
"AAC66090-1",177
"AAC66122-1",956
"AAC66102-1",518
"AAC66103-1",168
"AAC66105-1",629
"AAC66108-1",1551
"AAC66110-1",2948
"AAC66111-1",27
"AAC66091-1",864
"AAC66124-1",8
"AAC66125-1",60
"AAC66127-1",364
"AAC66128-1",194
"AAC66129-1",204
"AAC66130-1",256
"AAF08550-1",12
"AAF08546-1",0
"AAF08551-1",3
"AET25427-1",75
"AAF08548-1",6
"AAF08549-1",3
"AAC66227-1",1516
"AAC66228-1",119
"AAC66229-1",114
"AAC66230-1",654
"AAC66231-1",1471
"AAC66232-1",624
"AAC66233-1",376
"AAC66234-1",360
"AAC66235-1",16
"AAC66236-1",125
"AAC66260-1",57327
"AAC66243-1",69559
"AAC66246-1",834
"AAC66247-1",367
"AAC66248-1",263
"AAC66249-1",2016
"AAC66250-1",826
"AAC66244-1",719
"AAC66296-1",889
"AAC66261-1",372
"AAC66293-1",31
"AAC66297-1",323
"AAC66262-1",660
"AAC66263-1",815
"AAC66299-1",753
"AAC66300-1",2278
"AAC66276-1",554
"AAC66251-1",565
"AAC66252-1",126
"AAC66253-1",262
"AAC66254-1",110
"AAC66278-1",387
"AAC66279-1",121
"AAC66280-1",147
"AAC66281-1",38
"AAC66283-1",140
"AAC66237-1",375
"AAC66266-1",54
"AAC66267-1",60
"AAC66270-1",251
"AAC66271-1",1294
"AAC66238-1",4693
"AAC66239-1",317
"AAC66240-1",1449
"AAC66241-1",11306
"AAC66255-1",6691
"AAC66284-1",390
"AAC66256-1",4811
"AAC66286-1",4343
"AAC66287-1",1900
"AET25328-1",2221
"AAC66257-1",6300
"AAC66258-1",5251
"AAC66242-1",1286
"AAF07705-1",212
"AAF07706-1",173
"AAF07707-1",1239
"AAF07708-1",21720
"AAF07709-1",46
"AAF07710-1",46
"AAF07740-1",41
"AAF07711-1",110
"AAF07712-1",16
"AAF07713-1",41
"AAF07714-1",39
"AAF07741-1",122
"AAF07742-1",2
"AAF07743-1",2
"AAF07744-1",0
"AAF07745-1",71
"AAF07746-1",26
"AAF07747-1",616
"AAF07748-1",4
"AAF07715-1",48
"AAF07716-1",16
"AAF07717-1",11
"AAF07718-1",72
"AAF07719-1",0
"AAF07720-1",22
"AAF07721-1",0
"AAF07722-1",47
"AAF07723-1",348
"AAF07724-1",125
"AAF07725-1",140
"AAF07726-1",3082
"AAF07727-1",58
"AAF07728-1",205
"AAF07730-1",18
"AAF07731-1",45
"AAF07732-1",36
"AAF07733-1",50
"AAF07734-1",760
"AAF07751-1",80
"AAF07752-1",29
"AAF07735-1",86
"AAF07753-1",29
"AAF07754-1",48
"AET25424-1",70
"AAF07761-1",12
"AAF07736-1",260
"AET25425-1",19
"AAF07737-1",21
"AAF07774-1",25
"AAF07775-1",9
