"","bam.SRR_76_ngm_sorted.bam"
"AAC66934-1",4697
"AAC66937-1",2237
"AAC66933-1",3909
"EBG00001182584-1",574487
"AAC66932-1",608
"AAC66931-1",2195
"AAC66929-1",386
"AAC66946-1",1583
"AAC66948-1",538
"AAC66947-1",3218
"AAC66945-1",3967
"AAC66944-1",9325
"AAC66943-1",991
"AAC66942-1",1784
"AAC66941-1",1647
"AAB91524-1",1861
"AAB91523-1",832
"AAB91522-1",2845
"AAB91521-1",168
"AAB91520-1",2988
"AAB91519-1",3409
"AAB91517-1",320
"AAB91516-1",1040
"AAC66960-1",1728
"AAC66957-1",5252
"AAC66956-1",1927
"AAC66959-1",258
"AAC66955-1",2581
"AAC66954-1",5634
"AAC66953-1",1321
"AAC66952-1",3042
"AAC66958-1",508
"AAC66951-1",2164
"AAC66950-1",906
"AAC66949-1",12480
"AAC66970-1",1788
"AAC66969-1",1444
"AAC66968-1",1248
"AAC66967-1",1449
"AAC66966-1",3513
"EBG00001182580-1",3525087
"EBG00001182605-1",752083
"EBG00001182600-1",572812
"EBG00001182612-1",1319324
"AAC66965-1",6174
"AAC66964-1",3856
"AAC66963-1",8651
"AAC66962-1",3914
"AAC66971-1",502
"AAC66961-1",14662
"EBG00001182588-1",2055267
"AAC66979-1",1212
"AAC66980-1",249
"AAC66978-1",1218
"AAC66977-1",2126
"AAC66976-1",1456
"EBG00001182615-1",1357924
"AAC66975-1",2724
"AAC66974-1",1283
"AAC66973-1",850
"AAC66990-1",2178
"AAC66988-1",1653
"EBG00001182583-1",1231585
"AAC66987-1",6129
"AAC66985-1",1746
"AAC66984-1",10199
"AAC66983-1",1208
"AAC66989-1",9021
"EBG00001182586-1",336756
"AAC66982-1",193
"AAC66981-1",1199
"AAB91532-1",952
"AAB91531-1",1417
"AAB91530-1",2457
"AAB91529-1",964
"AAB91528-1",273
"AAB91527-1",168
"AAB91526-1",346
"AAB91525-1",2143
"AAC67000-1",770
"AAC66999-1",573
"AAC66998-1",1002
"AAC67003-1",1510
"AAC66997-1",1647
"AAC66995-1",42368
"AAC67002-1",2455
"AAC66994-1",1020
"AAC66993-1",6187
"AAC66992-1",2282
"AAC67001-1",6896
"AAC66991-1",377
"AAC67009-1",538
"AAC67008-1",1295
"AAC67007-1",6661
"AAC67006-1",6237
"AAC67005-1",896
"AAC67015-1",5806
"AAC67014-1",729
"AAC67013-1",744
"AAC67012-1",1712
"AAC67011-1",822
"AAC67010-1",829
"AAC67004-1",709
"AAC67025-1",5277
"AAC67024-1",2738
"AAC67023-1",3386
"AAC67022-1",1280
"AAC67021-1",1447
"AAC67020-1",61
"AAC67027-1",625
"AAC67026-1",502
"AAC67019-1",1282
"AAC67018-1",2559
"AAC67017-1",1076
"AAC67016-1",467
"AAC67037-1",13507
"AAC67036-1",7234
"AAC67035-1",2834
"AAC67034-1",7389
"AAC67033-1",2340
"AAC67032-1",1220
"AAC67031-1",739
"AAC67030-1",688
"AAC67029-1",3054
"EBG00001182582-1",824854
