"","bam.SRR_79_ngm_sorted.bam"
"AAC66195-1",180
"AAC66208-1",255
"AAC66209-1",1457
"AAC66210-1",175
"AAC66192-1",806
"AAC66147-1",878
"AAC66153-1",299
"AAC66155-1",11
"AAC66132-1",4623
"AAC66133-1",238
"AAC66139-1",2594
"AAC66172-1",502
"AAC66141-1",481
"AAC66142-1",173
"AAC66174-1",2776
"AAC66143-1",384
"AAC66138-1",183
"AAC66134-1",3550
"AAC66160-1",79
"AAC66166-1",204
"AAC66167-1",1378
"AET25336-1",191
"AAC66144-1",982
"AAC66178-1",253
"AAC66179-1",53
"AAC66145-1",8666
"AAC66182-1",800
"AAC66146-1",806
"AAC66169-1",328
"AAC66135-1",1151
"AET25337-1",6
"AAC66136-1",483
"AAC66137-1",870
"AAC66096-1",3573
"AAC66084-1",1885
"AAC66098-1",42
"AAC66100-1",41
"AAC66086-1",243
"AAC66087-1",216
"AAC66088-1",207
"AAC66089-1",6046
"AET25406-1",50
"AET25407-1",22
"AAC66119-1",1187
"AAC66120-1",956
"AAC66121-1",248
"AAC66090-1",41
"AAC66122-1",593
"AAC66102-1",155
"AAC66103-1",80
"AAC66105-1",813
"AAC66108-1",1666
"AAC66110-1",4063
"AAC66111-1",24
"AAC66091-1",945
"AAC66124-1",4
"AAC66125-1",41
"AAC66127-1",401
"AAC66128-1",207
"AAC66129-1",251
"AAC66130-1",498
"AAF08550-1",9
"AAF08546-1",0
"AAF08551-1",1
"AET25427-1",124
"AAF08548-1",8
"AAF08549-1",9
"AAC66227-1",1880
"AAC66228-1",190
"AAC66229-1",254
"AAC66230-1",1517
"AAC66231-1",1387
"AAC66232-1",633
"AAC66233-1",334
"AAC66234-1",333
"AAC66235-1",15
"AAC66236-1",118
"AAC66260-1",42064
"AAC66243-1",43114
"AAC66246-1",1110
"AAC66247-1",268
"AAC66248-1",217
"AAC66249-1",2262
"AAC66250-1",1359
"AAC66244-1",1641
"AAC66296-1",783
"AAC66261-1",347
"AAC66293-1",62
"AAC66297-1",262
"AAC66262-1",720
"AAC66263-1",2499
"AAC66299-1",262
"AAC66300-1",2082
"AAC66276-1",526
"AAC66251-1",544
"AAC66252-1",135
"AAC66253-1",264
"AAC66254-1",97
"AAC66278-1",352
"AAC66279-1",118
"AAC66280-1",131
"AAC66281-1",41
"AAC66283-1",127
"AAC66237-1",372
"AAC66266-1",47
"AAC66267-1",58
"AAC66270-1",283
"AAC66271-1",901
"AAC66238-1",4530
"AAC66239-1",372
"AAC66240-1",1556
"AAC66241-1",10272
"AAC66255-1",3753
"AAC66284-1",274
"AAC66256-1",4238
"AAC66286-1",5782
"AAC66287-1",2362
"AET25328-1",856
"AAC66257-1",3921
"AAC66258-1",5507
"AAC66242-1",1290
"AAF07705-1",279
"AAF07706-1",172
"AAF07707-1",1417
"AAF07708-1",15964
"AAF07709-1",31
"AAF07710-1",46
"AAF07740-1",47
"AAF07711-1",102
"AAF07712-1",21
"AAF07713-1",41
"AAF07714-1",31
"AAF07741-1",169
"AAF07742-1",7
"AAF07743-1",4
"AAF07744-1",0
"AAF07745-1",55
"AAF07746-1",31
"AAF07747-1",551
"AAF07748-1",9
"AAF07715-1",68
"AAF07716-1",21
"AAF07717-1",4
"AAF07718-1",76
"AAF07719-1",0
"AAF07720-1",23
"AAF07721-1",0
"AAF07722-1",41
"AAF07723-1",448
"AAF07724-1",229
"AAF07725-1",291
"AAF07726-1",3470
"AAF07727-1",71
"AAF07728-1",181
"AAF07730-1",28
"AAF07731-1",87
"AAF07732-1",45
"AAF07733-1",68
"AAF07734-1",398
"AAF07751-1",87
"AAF07752-1",33
"AAF07735-1",69
"AAF07753-1",28
"AAF07754-1",49
"AET25424-1",68
"AAF07761-1",1
"AAF07736-1",266
"AET25425-1",24
"AAF07737-1",25
"AAF07774-1",38
"AAF07775-1",4
